code,year,indicator,value
000002,2021,Debt_Ratio,0.7974
000002,2021,ROE,0.0978
000002,2022,Debt_Ratio,0.7695
000002,2022,ROE,0.0945
000002,2023,Debt_Ratio,0.7322
000002,2023,ROE,0.0493
000002,2024,Debt_Ratio,0.0074
000002,2024,ROE,-0.2182
000002,2025,Debt_Ratio,0.0077
000002,2025,ROE,-0.5542
000858,2021,Debt_Ratio,0.2524
000858,2021,ROE,0.253
000858,2022,Debt_Ratio,0.2359
000858,2022,ROE,0.2505
000858,2023,Debt_Ratio,0.2
000858,2023,ROE,0.2481
000858,2024,Debt_Ratio,0.0028
000858,2024,ROE,0.2424
600036,2021,Debt_Ratio,0.9064
600036,2021,ROE,0.1516
600036,2022,Debt_Ratio,0.9059
600036,2022,ROE,0.153
600036,2023,Debt_Ratio,0.9016
600036,2023,ROE,0.145
600036,2024,Debt_Ratio,0.009
600036,2024,ROE,0.1289
600036,2025,Debt_Ratio,0.009
600036,2025,ROE,0.1202
600048,2021,Debt_Ratio,0.7836
600048,2021,ROE,0.1458
600048,2022,Debt_Ratio,0.7809
600048,2022,ROE,0.0936
600048,2023,Debt_Ratio,0.7655
600048,2023,ROE,0.0611
600048,2024,Debt_Ratio,0.0074
600048,2024,ROE,0.0253
600050,2021,Debt_Ratio,0.4333
600050,2021,ROE,0.0425
600050,2022,Debt_Ratio,0.4613
600050,2022,ROE,0.0481
600050,2023,Debt_Ratio,0.46
600050,2023,ROE,0.0521
600050,2024,Debt_Ratio,0.0045
600050,2024,ROE,0.0557
600050,2025,Debt_Ratio,0.0044
600050,2025,ROE,0.0547
600104,2021,Debt_Ratio,0.6414
600104,2021,ROE,0.0919
600104,2022,Debt_Ratio,0.6603
600104,2022,ROE,0.0583
600104,2023,Debt_Ratio,0.6594
600104,2023,ROE,0.0499
600104,2024,Debt_Ratio,0.0064
600104,2024,ROE,0.0058
600104,2025,Debt_Ratio,0.0062
600104,2025,ROE,0.0345
600233,2021,Debt_Ratio,0.3262
600233,2021,ROE,0.1059
600233,2022,Debt_Ratio,0.3073
600233,2022,ROE,0.1591
600233,2023,Debt_Ratio,0.3233
600233,2023,ROE,0.1342
600233,2024,Debt_Ratio,0.0033
600233,2024,ROE,0.1327
600519,2021,Debt_Ratio,0.2281
600519,2021,ROE,0.299
600519,2022,Debt_Ratio,0.1942
600519,2022,ROE,0.3241
600519,2023,Debt_Ratio,0.1798
600519,2023,ROE,0.3618
600519,2024,Debt_Ratio,0.0019
600519,2024,ROE,0.3843
601857,2021,Debt_Ratio,0.4369
601857,2021,ROE,0.0743
601857,2022,Debt_Ratio,0.4247
601857,2022,ROE,0.1134
601857,2023,Debt_Ratio,0.4076
601857,2023,ROE,0.1144
601857,2024,Debt_Ratio,0.0038
601857,2024,ROE,0.1112
601857,2025,Debt_Ratio,0.0036
601857,2025,ROE,0.1014
601898,2021,Debt_Ratio,0.5574
601898,2021,ROE,0.1238
601898,2022,Debt_Ratio,0.5147
601898,2022,ROE,0.1492
601898,2023,Debt_Ratio,0.4768
601898,2023,ROE,0.1421
601898,2024,Debt_Ratio,0.0046
601898,2024,ROE,0.1305
601898,2025,Debt_Ratio,0.0046
601898,2025,ROE,0.1146
