date,cpi_yoy
2026年02月份,1.3
2026年01月份,0.2
2025年12月份,0.8
2025年11月份,0.7
2025年10月份,0.2
2025年09月份,-0.3
2025年08月份,-0.4
2025年07月份,0.0
2025年06月份,0.1
2025年05月份,-0.1
2025年04月份,-0.1
2025年03月份,-0.1
2025年02月份,-0.7
2025年01月份,0.5
2024年12月份,0.1
2024年11月份,0.2
2024年10月份,0.3
2024年09月份,0.4
2024年08月份,0.6
2024年07月份,0.5
2024年06月份,0.2
2024年05月份,0.3
2024年04月份,0.3
2024年03月份,0.1
2024年02月份,0.7
2024年01月份,-0.8
2023年12月份,-0.3
2023年11月份,-0.5
2023年10月份,-0.2
2023年09月份,0.0
2023年08月份,0.1
2023年07月份,-0.3
2023年06月份,0.0
2023年05月份,0.2
2023年04月份,0.1
2023年03月份,0.7
2023年02月份,1.0
2023年01月份,2.1
2022年12月份,1.8
2022年11月份,1.6
2022年10月份,2.1
2022年09月份,2.8
2022年08月份,2.5
2022年07月份,2.7
2022年06月份,2.5
2022年05月份,2.1
2022年04月份,2.1
2022年03月份,1.5
2022年02月份,0.9
2022年01月份,0.9
2021年12月份,1.5
2021年11月份,2.3
2021年10月份,1.5
2021年09月份,0.7
2021年08月份,0.8
2021年07月份,1.0
2021年06月份,1.1
2021年05月份,1.3
2021年04月份,0.9
2021年03月份,0.4
2021年02月份,-0.2
2021年01月份,-0.3
2020年12月份,0.2
2020年11月份,-0.5
2020年10月份,0.5
2020年09月份,1.7
2020年08月份,2.4
2020年07月份,2.7
2020年06月份,2.5
2020年05月份,2.4
2020年04月份,3.3
2020年03月份,4.3
2020年02月份,5.2
2020年01月份,5.4
