date,m2_yoy
2026年02月份,9.0
2026年01月份,9.0
2025年12月份,8.5
2025年11月份,8.0
2025年10月份,8.2
2025年09月份,8.4
2025年08月份,8.8
2025年07月份,8.8
2025年06月份,8.3
2025年05月份,7.9
2025年04月份,8.0
2025年03月份,7.0
2025年02月份,7.0
2025年01月份,7.0
2024年12月份,7.3
2024年11月份,7.1
2024年10月份,7.5
2024年09月份,6.8
2024年08月份,6.3
2024年07月份,6.3
2024年06月份,6.2
2024年05月份,7.0
2024年04月份,7.2
2024年03月份,8.3
2024年02月份,8.7
2024年01月份,8.7
2023年12月份,9.7
2023年11月份,10.0
2023年10月份,10.3
2023年09月份,10.3
2023年08月份,10.6
2023年07月份,10.7
2023年06月份,11.3
2023年05月份,11.6
2023年04月份,12.4
2023年03月份,12.7
2023年02月份,12.9
2023年01月份,12.6
2022年12月份,11.8
2022年11月份,12.4
2022年10月份,11.8
2022年09月份,12.1
2022年08月份,12.2
2022年07月份,12.0
2022年06月份,11.4
2022年05月份,11.1
2022年04月份,10.5
2022年03月份,9.7
2022年02月份,9.2
2022年01月份,9.8
2021年12月份,9.0
2021年11月份,8.5
2021年10月份,8.7
2021年09月份,8.3
2021年08月份,8.2
2021年07月份,8.3
2021年06月份,8.6
2021年05月份,8.3
2021年04月份,8.1
2021年03月份,9.4
2021年02月份,10.1
2021年01月份,9.4
2020年12月份,10.1
2020年11月份,10.7
2020年10月份,10.5
2020年09月份,10.9
2020年08月份,10.4
2020年07月份,10.7
2020年06月份,11.1
2020年05月份,11.1
2020年04月份,11.1
2020年03月份,10.1
2020年02月份,8.8
2020年01月份,8.4
